,price_in_nok
2020-04-02,207.45999999999998
2020-04-03,253.2752962875366
2020-04-04,253.2752962875366
2020-04-05,253.2752962875366
2020-04-06,237.99319913864133
2020-04-07,227.40899915695192
2020-04-08,260.7748038482666
2020-04-09,209.17820308685305
2020-04-10,209.17820308685305
2020-04-11,209.17820308685305
2020-04-12,209.17820308685305
2020-04-13,209.17820308685305
2020-04-14,223.7045991706848
2020-04-15,205.9199924468994
2020-04-16,197.55329429626465
2020-04-17,205.79500150680542
2020-04-18,205.79500150680542
2020-04-19,205.79500150680542
2020-04-20,181.06480529785156
2020-04-21,95.66879791259765
2020-04-22,146.65049474716187
2020-04-23,160.99139368057251
2020-04-24,169.3329012107849
2020-04-25,169.3329012107849
2020-04-26,169.3329012107849
2020-04-27,161.56049421310425
2020-04-28,164.58000297546386
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
